timestamp,nb_matches
1603266598.40169,0
1603266598.502579,712
1603266598.603396,706
1603266598.7042658,726
1603266598.8051457,704
1603266598.906039,711
1603266599.006903,703
1603266599.107746,709
1603266599.208647,721
1603266599.309517,691
1603266599.4103959,693
1603266599.5112638,716
1603266599.6121268,695
1603266599.7129686,702
1603266599.813848,701
1603266599.914728,706
1603266600.0156069,722
1603266600.116487,719
1603266600.217315,724
1603266600.318218,760
1603266600.4190938,766
1603266600.5199618,772
1603266600.6208248,846
1603266600.721668,821
1603266600.8225338,869
1603266600.923404,1023
1603266601.0243149,1046
1603266601.125181,1053
1603266601.226059,1127
1603266601.326953,1141
1603266601.4277909,1161
1603266601.5286632,1200
1603266601.629516,1216
1603266601.730383,1193
1603266601.831279,1229
1603266601.9321449,1193
1603266602.033012,1248
1603266602.133939,1240
1603266602.234755,1241
1603266602.3356268,1256
1603266602.4364948,1275
1603266602.537387,1288
1603266602.638267,1287
1603266602.73914,1324
1603266602.840009,1293
1603266602.940868,1274
1603266603.0417168,1300
1603266603.142592,1316
1603266603.243465,1291
1603266603.3442988,1260
1603266603.445243,1315
1603266603.5460699,1279
1603266603.6469479,1285
1603266603.7478127,1287
1603266603.848775,1265
1603266603.949559,1272
1603266604.050444,1298
1603266604.151299,1316
1603266604.252137,1326
1603266604.353039,1313
1603266604.453908,1302
1603266604.5547903,1317
1603266603.6469479,1344
1603266603.6469479,1428
1603266604.857384,1383
1603266604.9582598,1149
1603266605.0590959,1108
1603266605.160054,1130
1603266605.260846,1249
1603266605.361716,1207
1603266605.4625869,1186
1603266605.563534,1247
1603266605.66432,1190
1603266605.76519,1204
1603266605.8660629,1171
1603266605.9669359,1197
1603266606.067808,1211
1603266605.160054,1116
1603266605.160054,1274
1603266605.160054,1236
1603266605.160054,1252
1603266605.160054,1245
1603266605.160054,1265
1603266605.160054,1238
1603266605.160054,1209
1603266605.160054,1231
1603266605.160054,1241
1603266605.160054,1221
1603266605.160054,1236
1603266605.160054,1243
1603266605.160054,1245
1603266605.160054,1233
1603266605.160054,1236
1603266605.160054,1219
1603266605.160054,1199
1603266605.160054,1187
1603266605.160054,1212
1603266605.160054,1236
1603266605.160054,1216
1603266605.160054,1227
1603266605.160054,1185
1603266605.160054,1211
1603266605.160054,1177
1603266605.160054,1135
1603266605.160054,1185
1603266605.160054,1165
1603266605.160054,1158
1603266605.160054,1161
1603266605.160054,1209
1603266605.160054,1234
1603266605.160054,1245
1603266605.160054,1174
1603266605.160054,1265
1603266605.160054,1270
1603266605.160054,1248
1603266605.160054,1272
1603266605.160054,1275
1603266605.160054,1278
1603266605.160054,1319
1603266605.160054,1247
1603266605.160054,1252
1603266605.160054,1282
1603266605.160054,1226
1603266605.160054,1249
1603266605.160054,1286
1603266605.160054,1315
1603266605.160054,1292
1603266605.160054,1304
1603266605.160054,1317
1603266605.160054,1283
1603266605.160054,1297
1603266605.160054,1314
1603266605.160054,1308
1603266605.160054,1316
1603266605.160054,1339
1603266605.160054,1298
1603266605.160054,1277
1603266605.160054,1309
1603266605.160054,1304
1603266605.160054,1310
1603266605.160054,1290
1603266605.160054,1299
1603266605.160054,1332
1603266605.160054,1334
1603266605.160054,1318
1603266605.160054,1320
1603266605.160054,1335
1603266605.160054,1308
1603266605.160054,1329
1603266605.160054,1340
1603266605.160054,1280
1603266605.160054,1299
1603266605.160054,1304
1603266605.160054,1266
1603266605.160054,1298
1603266605.160054,1305
1603266605.160054,1296
1603266605.160054,1328
1603266605.160054,1263
1603266605.160054,1263
1603266605.160054,1348
1603266605.160054,1229
1603266605.160054,1265
1603266605.160054,1285
1603266605.160054,1308
1603266605.160054,1287
1603266605.160054,1263
1603266605.160054,1241
1603266605.160054,1238
1603266605.160054,1218
1603266605.160054,1239
1603266605.160054,1323
1603266605.160054,1251
1603266605.160054,1249
1603266605.160054,1238
1603266605.160054,1267
1603266605.160054,1432
1603266605.160054,1250
1603266605.160054,1430
1603266605.160054,1448
1603266605.160054,1437
1603266605.160054,1448
1603266605.160054,1439
1603266605.160054,1471
1603266605.160054,1477
1603266605.160054,1491
1603266605.160054,1495
1603266605.160054,1481
1603266605.160054,1477
1603266605.160054,1488
1603266605.160054,1508
1603266605.160054,1372
1603266605.160054,1464
1603266605.160054,1359
1603266605.160054,1397
1603266605.160054,1449
1603266605.160054,1402
1603266605.160054,1399
1603266605.160054,1379
1603266605.160054,1349
1603266605.160054,1380
1603266605.160054,1361
1603266605.160054,1378
1603266605.160054,1343
1603266605.160054,1344
1603266605.160054,1367
1603266605.160054,1372
1603266605.160054,1351
1603266605.160054,1379
1603266605.160054,1381
1603266605.160054,1282
1603266605.160054,1347
1603266605.160054,1367
1603266605.160054,1234
1603266605.160054,1320
1603266605.160054,1200
1603266605.160054,1310
1603266605.160054,1344
1603266605.160054,1373
1603266605.160054,1158
1603266605.160054,1371
1603266605.160054,1374
1603266605.160054,1426
1603266605.160054,1434
1603266605.160054,1353
1603266605.160054,1393
1603266605.160054,1345
1603266605.160054,1376
1603266605.160054,1353
1603266605.160054,1388
1603266605.160054,1375
1603266605.160054,1366
1603266605.160054,1347
1603266605.160054,1312
1603266605.160054,1400
1603266605.160054,1395
1603266605.160054,1401
1603266605.160054,1381
1603266605.160054,1392
1603266605.160054,1349
1603266605.160054,1277
1603266605.160054,1342
1603266605.160054,1344
1603266605.160054,1363
1603266605.160054,1351
1603266605.160054,1384
1603266605.160054,1410
1603266605.160054,1406
1603266605.160054,1411
1603266605.160054,1388
1603266605.160054,1429
1603266605.160054,1431
1603266605.160054,1410
1603266605.160054,1360
1603266605.160054,1353
1603266605.160054,1371
1603266605.160054,1324
1603266605.160054,1381
1603266605.160054,1323
1603266605.160054,1399
1603266605.160054,1359
1603266605.160054,1371
1603266605.160054,1362
1603266605.160054,1299
1603266605.160054,1282
1603266605.160054,1288
1603266605.160054,1262
1603266605.160054,1349
1603266605.160054,1258
1603266605.160054,1250
1603266605.160054,1254
1603266605.160054,1281
1603266605.160054,1257
1603266605.160054,1277
1603266605.160054,1283
1603266605.160054,1293
1603266605.160054,1327
1603266605.160054,1327
1603266605.160054,1177
1603266605.160054,1234
1603266605.160054,1198
1603266605.160054,1273
1603266605.160054,1220
1603266605.160054,1225
1603266605.160054,1289
1603266605.160054,1228
1603266605.160054,1255
1603266605.160054,1230
1603266605.160054,1304
1603266605.160054,1271
1603266605.160054,1352
1603266605.160054,1331
1603266605.160054,1244
1603266605.160054,1280
1603266605.160054,1239
1603266605.160054,1321
1603266605.160054,1342
1603266605.160054,1296
1603266605.160054,1296
1603266605.160054,1256
1603266605.160054,1234
1603266605.160054,1237
1603266605.160054,1258
1603266605.160054,1258
1603266605.160054,1299
1603266605.160054,1323
1603266605.160054,1299
1603266605.160054,1312
1603266605.160054,1289
1603266605.160054,1238
1603266605.160054,1214
1603266605.160054,1196
1603266605.160054,1275
1603266605.160054,1245
1603266605.160054,1243
1603266605.160054,1244
1603266605.160054,1347
1603266605.160054,1287
1603266605.160054,1276
1603266605.160054,1240
1603266605.160054,1233
1603266605.160054,1132
1603266605.160054,1138
1603266605.160054,1143
1603266605.160054,1194
1603266605.160054,1185
1603266605.160054,1241
1603266605.160054,1163
1603266605.160054,1145
1603266605.160054,1171
1603266605.160054,1134
1603266605.160054,1173
1603266605.160054,1162
1603266605.160054,1173
1603266605.160054,1127
1603266605.160054,1144
1603266605.160054,1161
1603266605.160054,1128
1603266605.160054,1111
1603266605.160054,1146
1603266605.160054,1183
1603266605.160054,1164
1603266605.160054,1061
1603266605.160054,1130
1603266605.160054,1105
1603266605.160054,1138
1603266605.160054,1119
1603266605.160054,1095
1603266605.160054,1110
1603266605.160054,1083
1603266605.160054,1090
1603266605.160054,1056
1603266605.160054,1071
1603266605.160054,1117
1603266605.160054,1091
1603266605.160054,1131
1603266605.160054,1074
1603266605.160054,1100
1603266605.160054,1065
1603266605.160054,1047
1603266605.160054,1040
1603266605.160054,1037
1603266605.160054,1014
1603266605.160054,1037
1603266605.160054,991
1603266605.160054,1049
1603266605.160054,1023
1603266605.160054,1027
1603266605.160054,1062
1603266605.160054,1010
1603266605.160054,1021
1603266605.160054,1042
1603266605.160054,1059
1603266605.160054,1023
1603266605.160054,1009
1603266605.160054,1019
1603266605.160054,1083
1603266605.160054,1022
1603266605.160054,1121
1603266605.160054,1192
1603266605.160054,1177
1603266605.160054,1021
1603266605.160054,1215
1603266605.160054,1231
1603266605.160054,1170
1603266605.160054,1167
1603266605.160054,1274
1603266605.160054,1150
1603266605.160054,1099
1603266605.160054,1158
1603266605.160054,1167
1603266605.160054,1134
1603266605.160054,1161
1603266605.160054,1140
1603266605.160054,1130
1603266605.160054,1158
1603266605.160054,1141
1603266605.160054,1135
1603266605.160054,1101
1603266605.160054,1085
1603266605.160054,1130
1603266605.160054,1116
1603266605.160054,1114
1603266605.160054,1117
1603266605.160054,1143
1603266605.160054,1065
1603266605.160054,1082
1603266605.160054,1119
1603266605.160054,1071
1603266605.160054,1088
1603266605.160054,1068
1603266605.160054,1067
1603266605.160054,1086
1603266605.160054,1107
1603266605.160054,1066
1603266605.160054,1048
1603266605.160054,1080
1603266605.160054,1004
1603266605.160054,1031
1603266605.160054,1035
1603266605.160054,1089
1603266605.160054,1237
1603266605.160054,1121
1603266605.160054,1255
1603266605.160054,1238
1603266605.160054,1078
1603266605.160054,1246
1603266605.160054,1239
1603266605.160054,1134
1603266605.160054,1158
1603266605.160054,1150
1603266605.160054,1158
1603266605.160054,1298
1603266605.160054,1172
1603266605.160054,1296
1603266605.160054,1272
1603266605.160054,1278
1603266605.160054,1337
1603266605.160054,1254
1603266605.160054,1323
1603266605.160054,1300
1603266605.160054,1300
1603266605.160054,1271
1603266605.160054,1266
1603266605.160054,1276
1603266605.160054,1320
1603266605.160054,1287
1603266605.160054,1243
1603266605.160054,1245
1603266605.160054,1236
1603266605.160054,1228
1603266605.160054,1237
1603266605.160054,1212
1603266605.160054,1207
1603266605.160054,1172
1603266605.160054,1167
1603266605.160054,1184
1603266605.160054,1186
1603266605.160054,1183
1603266605.160054,1131
1603266605.160054,1208
1603266605.160054,1207
1603266605.160054,1210
1603266605.160054,1176
1603266605.160054,1220
1603266605.160054,1165
1603266605.160054,1194
1603266605.160054,1196
1603266605.160054,1210
1603266605.160054,1174
1603266605.160054,1191
1603266605.160054,1166
1603266605.160054,1226
1603266605.160054,1134
1603266605.160054,1167
1603266605.160054,1118
1603266605.160054,1128
1603266605.160054,1127
1603266605.160054,1125
1603266605.160054,1138
1603266605.160054,1070
1603266605.160054,1093
1603266605.160054,1074
1603266605.160054,1095
1603266605.160054,1097
1603266605.160054,1104
1603266605.160054,1036
1603266605.160054,1079
1603266605.160054,1076
1603266605.160054,1012
1603266605.160054,1027
1603266605.160054,1025
1603266605.160054,1023
1603266605.160054,992
1603266605.160054,1053
1603266605.160054,1061
1603266605.160054,1041
1603266605.160054,1027
1603266605.160054,1029
1603266605.160054,1045
1603266605.160054,1049
1603266605.160054,1031
1603266605.160054,991
1603266605.160054,981
1603266605.160054,1011
1603266605.160054,990
1603266605.160054,1007
1603266605.160054,1002
1603266605.160054,1048
1603266605.160054,959
1603266605.160054,973
1603266605.160054,1067
1603266605.160054,1036
1603266605.160054,1024
1603266605.160054,1097
1603266605.160054,1011
1603266605.160054,1057
1603266605.160054,1060
1603266605.160054,1034
1603266605.160054,1060
1603266605.160054,1074
1603266605.160054,1016
1603266605.160054,1075
1603266605.160054,927
1603266605.160054,1049
1603266605.160054,1038
1603266605.160054,1053
1603266605.160054,1012
1603266605.160054,979
1603266605.160054,1053
1603266605.160054,1024
1603266605.160054,1055
1603266605.160054,1030
1603266605.160054,989
1603266605.160054,1020
1603266605.160054,949
1603266605.160054,990
1603266605.160054,1054
1603266605.160054,893
1603266605.160054,1086
1603266605.160054,1038
1603266605.160054,1024
1603266605.160054,989
1603266605.160054,1034
1603266605.160054,1000
1603266605.160054,1046
1603266605.160054,1017
1603266605.160054,984
1603266605.160054,985
1603266605.160054,983
1603266605.160054,1004
1603266605.160054,953
1603266605.160054,1007
1603266605.160054,1009
1603266605.160054,1036
1603266605.160054,988
1603266605.160054,998
1603266605.160054,966
1603266605.160054,976
1603266605.160054,983
1603266605.160054,1026
1603266605.160054,1030
1603266605.160054,947
1603266605.160054,950
1603266605.160054,1017
1603266605.160054,996
1603266605.160054,968
1603266605.160054,992
1603266605.160054,989
1603266605.160054,894
1603266605.160054,868
1603266605.160054,977
1603266605.160054,915
1603266605.160054,862
1603266605.160054,1038
1603266605.160054,999
1603266605.160054,1061
1603266605.160054,982
1603266605.160054,1035
1603266605.160054,1067
1603266605.160054,1027
1603266605.160054,1014
1603266605.160054,1060
1603266605.160054,1055
1603266605.160054,1086
1603266605.160054,1095
1603266605.160054,1098
1603266605.160054,1061
1603266605.160054,1091
1603266605.160054,1052
1603266605.160054,1100
1603266605.160054,1111
1603266605.160054,1144
1603266605.160054,1099
1603266605.160054,1117
1603266605.160054,1146
1603266605.160054,1106
1603266605.160054,1120
1603266605.160054,1128
1603266605.160054,1118
1603266605.160054,1048
1603266605.160054,1055
1603266605.160054,1087
1603266605.160054,1080
1603266605.160054,1084
1603266605.160054,1103
1603266605.160054,1110
1603266605.160054,1062
1603266605.160054,1082
1603266605.160054,1075
1603266605.160054,1112
1603266605.160054,1108
1603266605.160054,1129
1603266605.160054,1099
1603266605.160054,1103
1603266605.160054,1125
1603266605.160054,1079
1603266605.160054,1106
1603266605.160054,1093
1603266605.160054,1074
1603266605.160054,1132
1603266605.160054,1127
1603266605.160054,1100
1603266605.160054,1122
1603266605.160054,1099
1603266605.160054,1093
1603266605.160054,1110
1603266605.160054,1081
1603266605.160054,1094
1603266605.160054,1065
1603266605.160054,1047
1603266605.160054,1079
1603266605.160054,1038
1603266605.160054,1085
1603266605.160054,1071
1603266605.160054,1073
1603266605.160054,1037
1603266605.160054,1028
1603266605.160054,1065
1603266605.160054,1042
1603266605.160054,1072
1603266605.160054,1052
1603266605.160054,1074
1603266605.160054,1117
1603266605.160054,1114
1603266605.160054,1114
1603266605.160054,1079
1603266605.160054,1065
1603266605.160054,1073
1603266605.160054,1116
1603266605.160054,1108
1603266605.160054,1102
1603266605.160054,1156
1603266605.160054,1131
1603266605.160054,1163
1603266605.160054,1135
1603266605.160054,1162
1603266605.160054,1161
1603266605.160054,1130
1603266605.160054,1184
1603266605.160054,1193
1603266605.160054,1211
1603266605.160054,1178
1603266605.160054,1241
1603266605.160054,1245
1603266605.160054,1253
1603266605.160054,1243
1603266605.160054,1206
1603266605.160054,1205
1603266605.160054,1226
1603266605.160054,1260
1603266605.160054,1281
1603266605.160054,1252
1603266605.160054,1222
1603266605.160054,1263
1603266605.160054,1201
1603266605.160054,1223
1603266605.160054,1240
1603266605.160054,1201
1603266605.160054,1273
1603266605.160054,1189
1603266605.160054,1195
1603266605.160054,1217
1603266605.160054,1167
1603266605.160054,1232
1603266605.160054,1251
1603266605.160054,1279
1603266605.160054,1264
1603266605.160054,1239
1603266605.160054,1219
1603266605.160054,1186
1603266605.160054,1192
1603266605.160054,1195
1603266605.160054,1177
1603266605.160054,1182
1603266605.160054,1202
1603266605.160054,1144
1603266605.160054,1062
1603266605.160054,1068
1603266605.160054,1049
1603266605.160054,1046
1603266605.160054,1103
1603266605.160054,1097
1603266605.160054,1066
1603266605.160054,1052
1603266605.160054,1028
1603266605.160054,1079
1603266605.160054,1059
1603266605.160054,1057
1603266605.160054,1059
1603266605.160054,1049
1603266605.160054,1001
1603266605.160054,1049
1603266605.160054,1046
1603266605.160054,1037
1603266605.160054,1018
1603266605.160054,1077
1603266605.160054,1032
1603266605.160054,1128
1603266605.160054,1079
1603266605.160054,1113
1603266605.160054,971
1603266605.160054,1108
1603266605.160054,1068
1603266605.160054,1045
1603266605.160054,1065
1603266605.160054,1064
1603266605.160054,1047
1603266605.160054,1152
1603266605.160054,1077
1603266605.160054,1145
1603266605.160054,1109
1603266605.160054,1135
1603266605.160054,1100
1603266605.160054,1145
1603266605.160054,1164
1603266605.160054,1173
1603266605.160054,1169
1603266605.160054,1150
1603266605.160054,1158
1603266605.160054,1099
1603266605.160054,1159
1603266605.160054,1161
1603266605.160054,1094
1603266605.160054,1134
1603266605.160054,1134
